date,volume
2014-11-28,4
2014-11-29,2
2014-12-01,8
2014-12-02,10
2014-12-03,6
2014-12-04,8
2014-12-05,11
2014-12-06,2
2014-12-07,4
2014-12-08,4
2014-12-09,9
2014-12-10,9
2014-12-11,12
2014-12-12,3
2014-12-13,5
2014-12-15,6
2014-12-16,18
2014-12-17,7
2014-12-18,5
2014-12-19,10
2014-12-20,2
2014-12-21,1
2014-12-22,4
2014-12-23,1
2014-12-24,14
2014-12-25,6
2014-12-26,1
2014-12-27,13
2014-12-28,3
2014-12-29,11
2014-12-30,8
2014-12-31,4
2015-01-01,4
2015-01-02,4
2015-01-03,7
2015-01-04,35
2015-01-05,14
2015-01-06,7
2015-01-07,10
2015-01-08,17
2015-01-09,6
2015-01-10,4
2015-01-11,3
2015-01-12,2
2015-01-13,23
2015-01-14,39
2015-01-15,20
2015-01-16,11
2015-01-17,2
2015-01-18,5
2015-01-19,3
2015-01-20,10
2015-01-21,6
2015-01-22,9
2015-01-23,3
2015-01-24,3
2015-01-25,5
2015-01-26,31
2015-01-27,11
2015-01-28,17
2015-01-29,10
2015-01-30,8
2015-01-31,4
2015-02-01,3
2015-02-02,5
2015-02-03,11
2015-02-04,17
2015-02-05,7
2015-02-06,6
2015-02-07,1
2015-02-09,2
2015-02-10,8
2015-02-11,4
2015-02-12,13
2015-02-13,17
2015-02-14,1
2015-02-15,3
2015-02-16,10
2015-02-17,9
2015-02-18,15
2015-02-19,8
2015-02-20,9
2015-02-21,7
2015-02-22,6
2015-02-23,5
2015-02-24,17
2015-02-25,13
2015-02-26,7
2015-02-27,16
2015-02-28,6
2015-03-01,8
2015-03-02,10
2015-03-03,14
2015-03-04,15
2015-03-05,16
2015-03-06,7
2015-03-07,7
2015-03-08,7
2015-03-09,13
2015-03-10,23
2015-03-11,8
2015-03-12,6
2015-03-13,8
2015-03-14,8
2015-03-15,4
2015-03-16,7
2015-03-17,7
2015-03-18,13
2015-03-19,8
2015-03-20,6
2015-03-21,7
2015-03-22,7
2015-03-23,7
2015-03-24,18
2015-03-25,7
2015-03-26,5
2015-03-27,10
2015-03-28,6
2015-03-29,7
2015-03-30,8
2015-03-31,7
2015-04-01,15
2015-04-02,6
2015-04-03,4
2015-04-04,2
2015-04-05,4
2015-04-06,10
2015-04-07,4
2015-04-08,13
2015-04-09,9
2015-04-10,10
2015-04-11,6
2015-04-12,3
2015-04-13,11
2015-04-14,9
2015-04-15,5
2015-04-16,4
2015-04-17,4
2015-04-18,1
2015-04-19,7
2015-04-20,10
2015-04-21,15
2015-04-22,12
2015-04-23,12
2015-04-24,4
2015-04-26,7
2015-04-27,9
2015-04-28,12
2015-04-29,8
2015-04-30,12
2015-05-01,8
2015-05-02,2
2015-05-03,2
2015-05-04,8
2015-05-05,14
2015-05-06,10
2015-05-07,9
2015-05-08,11
2015-05-09,1
2015-05-10,3
2015-05-11,14
2015-05-12,11
2015-05-13,8
2015-05-14,10
2015-05-15,10
2015-05-16,5
2015-05-17,7
2015-05-18,7
2015-05-19,12
2015-05-20,9
2015-05-21,6
2015-05-22,5
2015-05-23,4
2015-05-24,4
2015-05-25,10
2015-05-26,7
2015-05-27,5
2015-05-28,6
2015-05-29,11
2015-05-30,7
2015-05-31,3
2015-06-01,11
2015-06-02,8
2015-06-03,4
2015-06-04,3
2015-06-05,9
2015-06-06,6
2015-06-07,4
2015-06-08,7
2015-06-09,9
2015-06-10,3
2015-06-12,11
2015-06-13,6
2015-06-14,5
2015-06-15,6
2015-06-16,12
2015-06-17,6
2015-06-18,2
2015-06-19,5
2015-06-20,4
2015-06-21,4
2015-06-22,6
2015-06-23,4
2015-06-24,2
2015-06-25,5
2015-06-26,6
2015-06-27,11
2015-06-28,5
2015-06-29,12
2015-06-30,19
2015-07-01,4
2015-07-02,8
2015-07-03,3
2015-07-04,4
2015-07-05,14
2015-07-06,16
2015-07-07,8
2015-07-08,2
2015-07-09,3
2015-07-10,14
2015-07-11,4
2015-07-12,18
2015-07-13,9
2015-07-14,6
2015-07-15,3
2015-07-16,6
2015-07-17,5
2015-07-18,4
2015-07-19,1
2015-07-20,3
2015-07-21,4
2015-07-22,5
2015-07-23,1
2015-07-24,15
2015-07-25,2
2015-07-26,7
2015-07-27,5
2015-07-28,7
2015-07-29,11
2015-07-30,3
2015-07-31,3
2015-08-01,1
2015-08-02,7
2015-08-03,2
2015-08-04,3
2015-08-05,2
2015-08-06,5
2015-08-07,4
2015-08-08,4
2015-08-09,3
2015-08-10,2
2015-08-11,1
2015-08-12,2
2015-08-13,4
2015-08-14,1
2015-08-15,3
2015-08-16,9
2015-08-17,8
2015-08-18,4
2015-08-19,10
2015-08-20,6
2015-08-21,3
2015-08-23,2
2015-08-24,6
2015-08-25,17
2015-08-26,7
2015-08-27,5
2015-08-28,6
2015-08-29,7
2015-08-30,2
2015-08-31,2
2015-09-01,5
2015-09-02,1
2015-09-03,6
2015-09-04,2
2015-09-05,4
2015-09-06,1
2015-09-07,3
2015-09-08,6
2015-09-09,3
2015-09-10,4
2015-09-11,3
2015-09-12,3
2015-09-13,1
2015-09-14,1
2015-09-15,3
2015-09-17,2
2015-09-18,1
2015-09-19,3
2015-09-20,2
