Date,Trade Volume
2014-07-31,30650683
2014-08-01,27300876
2014-08-02,8344287
2014-08-03,8106831
2014-08-04,10614295
2014-08-05,13835086
2014-08-06,14504429
2014-08-07,16588574
2014-08-08,12012707
2014-08-09,5713229
2014-08-10,7175168
2014-08-11,22405640
2014-08-12,21056005
2014-08-13,50901089
2014-08-14,80464854
2014-08-15,42718438
2014-08-16,34166676
2014-08-17,29860722
2014-08-18,77276974
2014-08-19,51835825
2014-08-20,66336620
2014-08-21,43648123
2014-08-22,30948823
2014-08-23,23280758
2014-08-24,17336019
2014-08-25,17536404
2014-08-26,26390500
2014-08-27,21926353
2014-08-28,15018155
2014-08-29,14423340
2014-08-30,10737051
2014-08-31,32036169
2014-09-01,19149933
2014-09-02,22024974
2014-09-03,9755220
2014-09-04,24357785
2014-09-05,12476883
2014-09-06,5837048
2014-09-07,6418646
2014-09-08,32783435
2014-09-09,20911150
2014-09-10,23220256
2014-09-11,14383216
2014-09-12,10146802
2014-09-13,16851465
2014-09-14,8784391
2014-09-15,14296882
2014-09-16,13777485
2014-09-17,22930386
2014-09-18,65741843
2014-09-19,57319973
2014-09-20,50501687
2014-09-21,32193171
2014-09-22,18676947
2014-09-23,68028400
2014-09-24,27977696
2014-09-25,28170267
2014-09-26,20600622
2014-09-27,12320630
2014-09-28,30976937
2014-09-29,34729312
2014-09-30,28357635
2014-10-01,19132923
2014-10-02,19213746
2014-10-03,32819963
2014-10-04,50979789
2014-10-05,106865869
2014-10-06,82533086
2014-10-07,39098571
2014-10-08,48681366
2014-10-09,86563608
2014-10-10,43496566
2014-10-11,23484194
2014-10-12,31154164
2014-10-13,63797372
2014-10-14,70595673
2014-10-15,45435938
2014-10-16,46067039
2014-10-17,22087447
2014-10-18,19167419
2014-10-19,9091861
2014-10-20,28856662
2014-10-21,23953579
2014-10-22,17092955
2014-10-23,47693590
2014-10-24,24960521
2014-10-25,35428902
2014-10-26,20956872
2014-10-27,21212966
2014-10-28,9386617
2014-10-29,33109800
2014-10-30,65537473
2014-10-31,23888539
2014-11-01,30808375
2014-11-02,13517066
2014-11-03,19863529
2014-11-04,24994393
2014-11-05,34272409
2014-11-06,33189623
2014-11-07,23667549
2014-11-08,10316595
2014-11-09,46478317
2014-11-10,45916454
2014-11-11,14686354
2014-11-12,160597676
2014-11-13,210311008
2014-11-14,83660169
2014-11-15,57632407
2014-11-16,34630220
2014-11-17,68518520
2014-11-18,50327004
2014-11-19,24949709
2014-11-20,32047759
2014-11-21,46043753
2014-11-22,20300657
2014-11-23,20220260
2014-11-24,57960625
2014-11-25,40192946
2014-11-26,30853571
2014-11-27,12162518
2014-11-28,43173752
2014-11-29,28076638
2014-11-30,18993875
2014-12-01,18485573
2014-12-02,17751509
2014-12-03,21602605
2014-12-04,21854432
2014-12-05,25656806
2014-12-06,12583742
2014-12-07,7797637
2014-12-08,27150684
2014-12-09,48499469
2014-12-10,16969261
2014-12-11,45498928
2014-12-12,17242566
2014-12-13,13326023
2014-12-14,13583448
2014-12-15,16198733
2014-12-16,41233994
2014-12-17,46601709
2014-12-18,56393493
2014-12-19,30423218
2014-12-20,27043456
2014-12-21,19021829
2014-12-22,26991721
2014-12-23,17388723
2014-12-24,17355721
2014-12-25,10253381
2014-12-26,17999755
2014-12-27,21266457
2014-12-28,12131964
2014-12-29,11717288
2014-12-30,13829557
2014-12-31,14989233
2015-01-01,7004316
2015-01-02,5966540
2015-01-03,49440854
2015-01-04,78718844
2015-01-05,48280374
2015-01-06,33797691
2015-01-07,30696350
2015-01-08,30421065
2015-01-09,30124498
2015-01-10,31476750
2015-01-11,23861820
2015-01-12,21772401
2015-01-13,120793828
2015-01-14,174058601
2015-01-15,139161187
2015-01-16,60739144
2015-01-17,35374162
2015-01-18,47828614
2015-01-19,25721631
2015-01-20,38160331
2015-01-21,47505269
2015-01-22,49466473
2015-01-23,33659923
2015-01-24,37190939
2015-01-25,56871039
2015-01-26,196346476
2015-01-27,74482153
2015-01-28,72181394
2015-01-29,52932646
2015-01-30,42950907
2015-01-31,38666776
2015-02-01,46455545
2015-02-02,45896314
2015-02-03,64373841
2015-02-04,37887394
2015-02-05,30846582
2015-02-06,29025660
2015-02-07,29031742
2015-02-08,22646235
2015-02-09,39522561
2015-02-10,24221248
2015-02-11,18751163
2015-02-12,17936111
2015-02-13,58993067
2015-02-14,74151726
2015-02-15,87259388
2015-02-16,40729867
2015-02-17,39098598
2015-02-18,35727607
2015-02-19,22872218
2015-02-20,30084993
2015-02-21,14979748
2015-02-22,29121531
2015-02-23,22627737
2015-02-24,16854070
2015-02-25,13695143
2015-02-26,17955635
2015-02-27,67944307
2015-02-28,17973222
2015-03-01,44331997
2015-03-02,69190619
2015-03-03,83765999
