date,VCRIX
2014-11-28,1000.0
2014-11-29,965.9799
2014-11-30,959.5944
2014-12-01,959.5944
2014-12-02,934.6433
2014-12-03,931.8952
2014-12-04,934.807
2014-12-05,934.499
2014-12-06,927.9591
2014-12-07,918.963
2014-12-08,914.2787
2014-12-09,940.8617
2014-12-10,912.1438
2014-12-11,913.6096
2014-12-12,916.6603
2014-12-13,660.5024
2014-12-14,665.1506
2014-12-15,634.7525
2014-12-16,600.83
2014-12-17,600.0275
2014-12-18,603.6457
2014-12-19,593.762
2014-12-20,597.8804
2014-12-21,550.4552
2014-12-22,567.0554
2014-12-23,612.8725
2014-12-24,567.8588
2014-12-25,578.1848
2014-12-26,579.4662
2014-12-27,601.4952
2014-12-28,629.121
2014-12-29,608.1211
2014-12-30,605.2537
2014-12-31,602.3949
2015-01-01,602.3949
2015-01-02,596.2856
2015-01-03,584.8574
2015-01-04,756.2043
2015-01-05,907.8562
2015-01-06,961.1827
2015-01-07,989.6939
2015-01-08,990.4988
2015-01-09,999.5077
2015-01-10,1000.7918
2015-01-11,1029.2347
2015-01-12,1021.8308
2015-01-13,1014.6859
2015-01-14,1357.4393
2015-01-15,1810.9365
2015-01-16,2259.3612
2015-01-17,2132.4297
2015-01-18,2094.5869
2015-01-19,2092.6525
2015-01-20,2064.5483
2015-01-21,2040.0414
2015-01-22,2038.4602
2015-01-23,2034.5487
2015-01-24,2016.8645
2015-01-25,2034.7074
2015-01-26,2016.2519
2015-01-27,2025.5377
2015-01-28,2028.9329
2015-01-29,2025.9998
2015-01-30,2085.1828
2015-01-31,2078.0386
2015-02-01,2078.0386
2015-02-02,2092.5512
2015-02-03,2066.4097
2015-02-04,2017.4556
2015-02-05,1998.4079
2015-02-06,1988.7217
2015-02-07,1993.1506
2015-02-08,1998.8001
2015-02-09,2001.4515
2015-02-10,1990.1239
2015-02-11,1998.8819
2015-02-12,2001.8247
2015-02-13,1723.4064
2015-02-14,1240.6587
2015-02-15,893.3362
2015-02-16,1100.5537
2015-02-17,1101.3304
2015-02-18,1104.9657
2015-02-19,1131.423
2015-02-20,1148.2745
2015-02-21,1120.0951
2015-02-22,1118.053
2015-02-23,1138.9147
2015-02-24,1107.5548
2015-02-25,1108.2595
2015-02-26,1074.06
2015-02-27,1063.0561
2015-02-28,1126.8559
2015-03-01,1126.8559
2015-03-02,1130.0978
2015-03-03,1126.7566
2015-03-04,1131.2092
2015-03-05,1124.3512
2015-03-06,1067.2161
2015-03-07,1078.9954
2015-03-08,1071.6915
2015-03-09,1072.7117
2015-03-10,1113.171
2015-03-11,1114.6585
2015-03-12,1117.3603
2015-03-13,1131.2772
2015-03-14,1153.5484
2015-03-15,1134.5752
2015-03-16,1065.9222
2015-03-17,937.6755
2015-03-18,682.2459
2015-03-19,928.6406
